Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_113,Back,Back_113,0,-1.2,1.2,1.2,0.6,0.6,71.29,47.61,57.92,12.76,29.32,316.41,15.32,22.52,25.74,51.19,58.52,43.74,64.8,108.54,116.64,0.93,9.72,14.58,17.82,
Case_114,Back,Back_114,0,-1.2,1.2,1.2,0.6,1.2,60.96,42.71,60.56,14.74,24.7,257.94,11.17,26.16,24.85,61.72,58.62,43.74,64.8,108.54,116.64,0.93,9.72,14.58,35.64,
Case_115,Back,Back_115,0,-1.2,1.2,1.2,1.2,0,78.02,49.873333,56.78,11.67,31.55,321.36,16.02,21.06,26.53,44.96,56.63,43.74,64.8,108.54,116.64,0.93,19.44,14.58,0,
Case_116,Back,Back_116,0,-1.2,1.2,1.2,1.2,0.6,68.75,44.93,61.03,13.19,25.79,262.89,11.64,16.04,16.5,54.03,55.58,43.74,64.8,108.54,116.64,0.93,19.44,14.58,17.82,
Case_117,Back,Back_117,0,-1.2,1.2,1.2,1.2,1.2,60.49,39.163333,64.25,15.15,20.6,205.25,7.67,13.53,11.76,67.07,58.31,43.74,64.8,108.54,116.64,0.93,19.44,14.58,35.64,
Case_118,Back,Back_118,0,-1.2,1.2,1.8,0,0,77.68,50.953333,54.78,11.52,33.69,414.51,22.37,22.27,37.16,31.19,52.03,43.74,64.8,108.54,116.64,0.93,0,14.58,0,
Case_119,Back,Back_119,0,-1.2,1.2,1.8,0,0.6,69.34,47.09,58.37,13.12,28.51,350.31,17.45,31.88,41,37.58,48.33,43.74,64.8,108.54,116.64,0.93,0,14.58,17.82,
Case_120,Back,Back_120,0,-1.2,1.2,1.8,0,1.2,60.1,42.456667,60.84,14.94,24.22,289.05,13.08,21.02,21.99,48.22,50.45,43.74,64.8,108.54,116.64,0.93,0,14.58,35.64,
Case_121,Back,Back_121,0,-1.2,1.2,1.8,0.6,0,78.02,49.873333,57.08,11.69,31.23,360.15,18.5,24.7,35.47,35.24,50.58,43.74,64.8,108.54,116.64,0.93,9.72,14.58,0,
Case_122,Back,Back_122,0,-1.2,1.2,1.8,0.6,0.6,68.07,44.93,61.34,13.28,25.39,300.19,13.94,25.76,29.44,40.42,46.2,43.74,64.8,108.54,116.64,0.93,9.72,14.58,17.82,
Case_123,Back,Back_123,0,-1.2,1.2,1.8,0.6,1.2,59.24,39.163333,64.13,15.46,20.41,240.91,9.86,15.2,14.44,53.22,50.54,43.74,64.8,108.54,116.64,0.93,9.72,14.58,35.64,
Case_124,Back,Back_124,0,-1.2,1.2,1.8,1.2,0,74.73,46.58,60.15,12.25,27.6,310.13,14.66,21.87,27.55,37.67,47.45,43.74,64.8,108.54,116.64,0.93,19.44,14.58,0,
Case_125,Back,Back_125,0,-1.2,1.2,1.8,1.2,0.6,65.97,39.163333,64.47,14.02,21.51,261.76,11.28,31.51,32.42,40.34,41.5,43.74,64.8,108.54,116.64,0.93,19.44,14.58,17.82,
Case_126,Back,Back_126,0,-1.2,1.2,1.8,1.2,1.2,53.33,29.386667,67.7,16.31,15.99,205.81,7.42,18.83,16.37,53.67,46.66,43.74,64.8,108.54,116.64,0.93,19.44,14.58,35.64,
Case_127,Back,Back_127,0,-1.2,1.2,2.4,0,0,74.48,49.873333,57.47,11.97,30.56,368.28,18.22,25.11,41.89,21.87,36.49,43.74,64.8,108.54,116.64,0.93,0,14.58,0,
Case_128,Back,Back_128,0,-1.2,1.2,2.4,0,0.6,66.97,44.93,61.67,13.51,24.82,311.38,13.9,30.86,39.69,27.05,34.79,43.74,64.8,108.54,116.64,0.93,0,14.58,17.82,
Case_129,Back,Back_129,0,-1.2,1.2,2.4,0,1.2,57.25,39.163333,64.69,15.57,19.75,251.75,9.85,24.98,26.14,38.67,40.45,43.74,64.8,108.54,116.64,0.93,0,14.58,35.64,
Case_130,Back,Back_130,0,-1.2,1.2,2.4,0.6,0,74.35,46.58,60.4,12.34,27.26,322.04,14.63,21.87,31.4,27.95,40.12,43.74,64.8,108.54,116.64,0.93,9.72,14.58,0,
Case_131,Back,Back_131,0,-1.2,1.2,2.4,0.6,0.6,63.91,39.163333,64.67,14.2,21.14,274.81,11.33,35.44,40.51,30.62,35,43.74,64.8,108.54,116.64,0.93,9.72,14.58,17.82,
Case_132,Back,Back_132,0,-1.2,1.2,2.4,0.6,1.2,51.95,29.386667,67.79,16.44,15.77,218.2,7.47,28.18,26.77,39.53,37.54,43.74,64.8,108.54,116.64,0.93,9.72,14.58,35.64,
Case_133,Back,Back_133,0,-1.2,1.2,2.4,1.2,0,70.96,41.576667,63.4,13.39,23.21,273.32,11.05,22.28,28.06,34.02,42.86,43.74,64.8,108.54,116.64,0.93,19.44,14.58,0,
Case_134,Back,Back_134,0,-1.2,1.2,2.4,1.2,0.6,58.27,36.743333,67.28,15.34,17.38,235.45,8.68,24.14,24.83,36.61,37.67,43.74,64.8,108.54,116.64,0.93,19.44,14.58,17.82,
Case_135,Back,Back_135,0,-1.2,1.2,2.4,1.2,1.2,45.78,23.316667,69.66,17.98,12.36,189.2,5.72,28.3,24.6,42.23,36.72,43.74,64.8,108.54,116.64,0.93,19.44,14.58,35.64,
Case_136,Back,Back_136,0,-0.6,0,0,0,0,92.28,58.33,51.04,9.36,39.6,865.71,37.24,0,0,9.72,100,43.74,19.44,63.18,116.64,0.54,0,0,0,
Case_137,Back,Back_137,0,-0.6,0,0,0,0.6,83.02,56.48,54.99,10.13,34.88,680.21,26.62,17.82,64.71,9.72,35.29,43.74,19.44,63.18,116.64,0.54,0,0,17.82,
Case_138,Back,Back_138,0,-0.6,0,0,0,1.2,73.46,50.93,59.03,11.24,29.73,512.74,18.74,34.04,75.05,9.72,21.43,43.74,19.44,63.18,116.64,0.54,0,0,35.64,
Case_139,Back,Back_139,0,-0.6,0,0,0.6,0,89.51,58.33,51.78,9.43,38.79,750.05,28.06,9.72,50,9.72,50,43.74,19.44,63.18,116.64,0.54,9.72,0,0,
Case_140,Back,Back_140,0,-0.6,0,0,0.6,0.6,79.94,56.48,55.67,10.3,34.03,591.18,19.85,24.3,65.22,9.72,26.09,43.74,19.44,63.18,116.64,0.54,9.72,0,17.82,
Case_141,Back,Back_141,0,-0.6,0,0,0.6,1.2,70.06,50.93,59.67,11.32,29.01,441.12,13.96,40.74,73.97,9.72,17.65,43.74,19.44,63.18,116.64,0.54,9.72,0,35.64,
Case_142,Back,Back_142,0,-0.6,0,0,1.2,0,87.04,58.33,53.84,9.7,36.46,629.94,20.06,0,0,19.44,66.67,43.74,19.44,63.18,116.64,0.54,19.44,0,0,
Case_143,Back,Back_143,0,-0.6,0,0,1.2,0.6,76.54,56.48,58.22,10.53,31.25,506.17,15.51,10.21,21.72,19.44,41.38,43.74,19.44,63.18,116.64,0.54,19.44,0,17.82,
Case_144,Back,Back_144,0,-0.6,0,0,1.2,1.2,67.59,49.07,62.98,11.76,25.26,369.99,10.7,18.25,28.16,19.44,30,43.74,19.44,63.18,116.64,0.54,19.44,0,35.64,
Case_145,Back,Back_145,0,-0.6,0,0.6,0,0,81.48,58.33,52.03,9.76,38.21,629.79,25.99,0,0,24.3,100,43.74,19.44,63.18,116.64,0.54,0,14.58,0,
Case_146,Back,Back_146,0,-0.6,0,0.6,0,0.6,72.84,56.48,55.47,10.53,34,497.54,18.83,12.47,29.62,24.3,57.69,43.74,19.44,63.18,116.64,0.54,0,14.58,17.82,
Case_147,Back,Back_147,0,-0.6,0,0.6,0,1.2,66.36,50.93,59.31,11.76,28.93,381.52,13.9,30.9,51.55,24.3,40.54,43.74,19.44,63.18,116.64,0.54,0,14.58,35.64,
Case_148,Back,Back_148,0,-0.6,0,0.6,0.6,0,81.48,58.33,52.29,9.74,37.97,526.16,17.55,9.72,28.57,24.3,71.43,43.74,19.44,63.18,116.64,0.54,9.72,14.58,0,
Case_149,Back,Back_149,0,-0.6,0,0.6,0.6,0.6,72.84,56.48,55.83,10.63,33.53,412.51,12.56,18.95,36.56,24.3,46.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,17.82,
Case_150,Back,Back_150,0,-0.6,0,0.6,0.6,1.2,66.67,50.93,59.65,11.79,28.56,313.36,9.36,38.56,55.35,24.3,34.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,35.64,
Case_151,Back,Back_151,0,-0.6,0,0.6,1.2,0,80.86,58.33,54.16,9.86,35.98,411.88,10.64,0,0,34.02,77.78,43.74,19.44,63.18,116.64,0.54,19.44,14.58,0,
Case_152,Back,Back_152,0,-0.6,0,0.6,1.2,0.6,71.3,56.48,58.3,10.77,30.92,331.27,8.43,4.86,7.89,34.02,55.26,43.74,19.44,63.18,116.64,0.54,19.44,14.58,17.82,
Case_153,Back,Back_153,0,-0.6,0,0.6,1.2,1.2,65.74,49.07,62.98,11.98,25.04,243.7,6.24,16.26,20.48,34.02,42.86,43.74,19.44,63.18,116.64,0.54,19.44,14.58,35.64,
Case_154,Back,Back_154,0,-0.6,0,1.2,0,0,77.47,58.33,52.73,9.84,37.43,586.61,22.28,9.72,40,14.58,60,43.74,19.44,63.18,116.64,0.54,0,14.58,0,
Case_155,Back,Back_155,0,-0.6,0,1.2,0,0.6,70.99,56.48,56.29,10.77,32.94,475.88,17.43,22.84,54.23,14.58,34.62,43.74,19.44,63.18,116.64,0.54,0,14.58,17.82,
Case_156,Back,Back_156,0,-0.6,0,1.2,0,1.2,64.51,50.93,59.98,11.92,28.09,363.28,12.46,33.73,56.27,14.58,24.32,43.74,19.44,63.18,116.64,0.54,0,14.58,35.64,
Case_157,Back,Back_157,0,-0.6,0,1.2,0.6,0,78.4,58.33,54.36,9.89,35.75,475.95,15.65,0,0,24.3,71.43,43.74,19.44,63.18,116.64,0.54,9.72,14.58,0,
Case_158,Back,Back_158,0,-0.6,0,1.2,0.6,0.6,70.06,56.48,58.57,10.85,30.59,395.96,13.5,8.75,16.88,24.3,46.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,17.82,
Case_159,Back,Back_159,0,-0.6,0,1.2,0.6,1.2,63.58,49.07,63.1,12.12,24.78,296.01,9.39,11.71,16.81,24.3,34.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,35.64,
Case_160,Back,Back_160,0,-0.6,0,1.2,1.2,0,76.23,54.63,57.97,10.37,31.66,388.94,10.33,0,0,34.02,77.78,43.74,19.44,63.18,116.64,0.54,19.44,14.58,0,
Case_161,Back,Back_161,0,-0.6,0,1.2,1.2,0.6,69.14,47.22,62.46,11.37,26.17,327.08,8.92,0,0,34.02,55.26,43.74,19.44,63.18,116.64,0.54,19.44,14.58,17.82,
Case_162,Back,Back_162,0,-0.6,0,1.2,1.2,1.2,59.88,41.67,67.1,12.78,20.12,248.77,6.57,6.49,8.18,34.02,42.86,43.74,19.44,63.18,116.64,0.54,19.44,14.58,35.64,
Case_163,Back,Back_163,0,-0.6,0,1.8,0,0,73.77,58.33,54.86,10.05,35.09,503.37,15.46,0,0,14.58,60,43.74,19.44,63.18,116.64,0.54,0,14.58,0,
Case_164,Back,Back_164,0,-0.6,0,1.8,0,0.6,68.83,56.48,59.06,10.94,30,425.58,13.42,8.75,20.77,14.58,34.62,43.74,19.44,63.18,116.64,0.54,0,14.58,17.82,
Case_165,Back,Back_165,0,-0.6,0,1.8,0,1.2,62.04,49.07,63.23,12.33,24.44,325.95,9.47,14.42,24.05,14.58,24.32,43.74,19.44,63.18,116.64,0.54,0,14.58,35.64,
Case_166,Back,Back_166,0,-0.6,0,1.8,0.6,0,75,54.63,58.23,10.36,31.4,418.98,10.29,0,0,24.3,71.43,43.74,19.44,63.18,116.64,0.54,9.72,14.58,0,
Case_167,Back,Back_167,0,-0.6,0,1.8,0.6,0.6,67.59,47.22,62.65,11.39,25.96,358.02,8.97,0,0,24.3,46.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,17.82,
Case_168,Back,Back_168,0,-0.6,0,1.8,0.6,1.2,59.88,41.67,67.36,12.83,19.82,279.66,6.61,8.6,12.35,24.3,34.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,35.64,
Case_169,Back,Back_169,0,-0.6,0,1.8,1.2,0,69.75,48.15,61.91,11.14,26.95,340.53,5.91,0,0,34.02,77.78,43.74,19.44,63.18,116.64,0.54,19.44,14.58,0,
Case_170,Back,Back_170,0,-0.6,0,1.8,1.2,0.6,61.11,41.67,66.29,12.38,21.33,292.35,4.78,0,0,34.02,55.26,43.74,19.44,63.18,116.64,0.54,19.44,14.58,17.82,
Case_171,Back,Back_171,0,-0.6,0,1.8,1.2,1.2,53.09,34.26,70.63,13.93,15.44,232.77,3.72,0,0,34.02,42.86,43.74,19.44,63.18,116.64,0.54,19.44,14.58,35.64,
Case_172,Back,Back_172,0,-0.6,0,2.4,0,0,71.91,54.63,58.69,10.54,30.77,425.2,10.07,0,0,14.58,60,43.74,19.44,63.18,116.64,0.54,0,14.58,0,
Case_173,Back,Back_173,0,-0.6,0,2.4,0,0.6,65.74,47.22,63.01,11.62,25.37,363.89,8.8,0,0,14.58,34.62,43.74,19.44,63.18,116.64,0.54,0,14.58,17.82,
Case_174,Back,Back_174,0,-0.6,0,2.4,0,1.2,58.33,41.67,67.37,13.09,19.54,287.26,6.58,9.57,15.97,14.58,24.32,43.74,19.44,63.18,116.64,0.54,0,14.58,35.64,
Case_175,Back,Back_175,0,-0.6,0,2.4,0.6,0,67.59,48.15,62.2,11.29,26.51,347.28,5.75,0,0,24.3,71.43,43.74,19.44,63.18,116.64,0.54,9.72,14.58,0,
Case_176,Back,Back_176,0,-0.6,0,2.4,0.6,0.6,59.26,41.67,66.55,12.56,20.89,298.64,4.67,0,0,24.3,46.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,17.82,
Case_177,Back,Back_177,0,-0.6,0,2.4,0.6,1.2,53.09,34.26,70.7,14.22,15.08,240.42,3.67,0,0,24.3,34.88,43.74,19.44,63.18,116.64,0.54,9.72,14.58,35.64,
Case_178,Back,Back_178,0,-0.6,0,2.4,1.2,0,61.73,39.81,65.74,12.07,22.19,285.23,5.08,0,0,34.02,77.78,43.74,19.44,63.18,116.64,0.54,19.44,14.58,0,
Case_179,Back,Back_179,0,-0.6,0,2.4,1.2,0.6,54.32,37.04,69.88,13.59,16.52,244.94,4.11,0,0,34.02,55.26,43.74,19.44,63.18,116.64,0.54,19.44,14.58,17.82,
Case_180,Back,Back_180,0,-0.6,0,2.4,1.2,1.2,46.6,28.7,73.18,15.54,11.29,199.64,3.23,0,0,34.02,42.86,43.74,19.44,63.18,116.64,0.54,19.44,14.58,35.64,
Case_181,Back,Back_181,0,-0.6,0.6,0,0,0,87.13,55.53,52.3,10,37.7,685.79,32.37,0,0,27.54,100,43.74,37.26,81,116.64,0.69,0,0,0,
Case_182,Back,Back_182,0,-0.6,0.6,0,0,0.6,78.58,51.666667,56.36,10.99,32.65,533.61,22.66,15.66,34.52,29.7,65.48,43.74,37.26,81,116.64,0.69,0,0,17.82,
Case_183,Back,Back_183,0,-0.6,0.6,0,0,1.2,66.35,45.046667,59.9,12.33,27.77,410.31,16.04,33.79,53.48,29.39,46.52,43.74,37.26,81,116.64,0.69,0,0,35.64,
Case_184,Back,Back_184,0,-0.6,0.6,0,0.6,0,85.16,55.53,53.23,10.1,36.67,597.63,25.08,11.7,31.4,22.32,59.9,43.74,37.26,81,116.64,0.69,9.72,0,0,
Case_185,Back,Back_185,0,-0.6,0.6,0,0.6,0.6,76.56,51.666667,57.16,11.13,31.71,460.55,16.82,25.76,46.76,26.08,47.35,43.74,37.26,81,116.64,0.69,9.72,0,17.82,
Case_186,Back,Back_186,0,-0.6,0.6,0,0.6,1.2,64.36,45.046667,60.66,12.55,26.79,356.07,12.06,34.6,47.46,29.39,40.32,43.74,37.26,81,116.64,0.69,9.72,0,35.64,
Case_187,Back,Back_187,0,-0.6,0.6,0,1.2,0,83.3,55.27,55.3,10.42,34.28,505.85,19.09,14.54,30.94,19.85,42.24,43.74,37.26,81,116.64,0.69,19.44,0,0,
Case_188,Back,Back_188,0,-0.6,0.6,0,1.2,0.6,72.95,50.356667,59.89,11.5,28.61,390.69,12.9,17.25,26.63,27.7,42.75,43.74,37.26,81,116.64,0.69,19.44,0,17.82,
Case_189,Back,Back_189,0,-0.6,0.6,0,1.2,1.2,64.16,42.546667,64,12.97,23.02,294.94,8.72,18.87,22.83,34.58,41.85,43.74,37.26,81,116.64,0.69,19.44,0,35.64,
Case_190,Back,Back_190,0,-0.6,0.6,0.6,0,0,80.09,55.53,53.09,10.41,36.5,502.05,23.18,1.22,2.88,37.26,88.46,43.74,37.26,81,116.64,0.69,0,14.58,0,
Case_191,Back,Back_191,0,-0.6,0.6,0.6,0,0.6,70.67,51.666667,56.76,11.53,31.71,400.51,17.29,11.1,18.51,45.2,75.41,43.74,37.26,81,116.64,0.69,0,14.58,17.82,
Case_192,Back,Back_192,0,-0.6,0.6,0.6,0,1.2,63.73,45.046667,59.77,13.04,27.19,310.34,12.41,28.93,37.2,43.97,56.55,43.74,37.26,81,116.64,0.69,0,14.58,35.64,
Case_193,Back,Back_193,0,-0.6,0.6,0.6,0.6,0,80.26,55.53,53.43,10.42,36.15,426.71,17.07,11.74,22.66,33.21,64.06,43.74,37.26,81,116.64,0.69,9.72,14.58,0,
Case_194,Back,Back_194,0,-0.6,0.6,0.6,0.6,0.6,70,51.666667,57.18,11.64,31.18,330.15,11.68,22.11,31.74,40.66,58.37,43.74,37.26,81,116.64,0.69,9.72,14.58,17.82,
Case_195,Back,Back_195,0,-0.6,0.6,0.6,0.6,1.2,63,45.046667,60.39,13.16,26.45,259.1,8.63,31.77,36.31,43.97,50.26,43.74,37.26,81,116.64,0.69,9.72,14.58,35.64,
Case_196,Back,Back_196,0,-0.6,0.6,0.6,1.2,0,78.19,55.27,55.4,10.66,33.94,341.18,11.98,11.66,18.93,34.02,55.26,43.74,37.26,81,116.64,0.69,19.44,14.58,0,
Case_197,Back,Back_197,0,-0.6,0.6,0.6,1.2,0.6,67.65,50.356667,59.94,11.85,28.21,263.14,8.12,14.09,17.76,41.8,52.65,43.74,37.26,81,116.64,0.69,19.44,14.58,17.82,
Case_198,Back,Back_198,0,-0.6,0.6,0.6,1.2,1.2,61.13,42.546667,63.78,13.38,22.85,199.46,5.41,19.14,19.69,48.89,50.3,43.74,37.26,81,116.64,0.69,19.44,14.58,35.64,
Case_199,Back,Back_199,0,-0.6,0.6,1.2,0,0,76.82,55.53,53.93,10.58,35.49,472.74,20.64,22.27,52.88,16.61,39.42,43.74,37.26,81,116.64,0.69,0,14.58,0,
Case_200,Back,Back_200,0,-0.6,0.6,1.2,0,0.6,68.71,51.666667,57.59,11.71,30.7,375.32,14.85,20.82,34.73,26.57,44.32,43.74,37.26,81,116.64,0.69,0,14.58,17.82,
Case_201,Back,Back_201,0,-0.6,0.6,1.2,0,1.2,60.77,45.046667,60.54,13.35,26.11,298.17,10.89,26.19,33.68,34.18,43.95,43.74,37.26,81,116.64,0.69,0,14.58,35.64,
Case_202,Back,Back_202,0,-0.6,0.6,1.2,0.6,0,76.8,55.27,55.71,10.7,33.59,392.84,15.51,14.94,28.82,24.3,46.88,43.74,37.26,81,116.64,0.69,9.72,14.58,0,
Case_203,Back,Back_203,0,-0.6,0.6,1.2,0.6,0.6,66.17,50.356667,60.19,11.9,27.9,313.5,11.4,15.07,21.63,28.67,41.16,43.74,37.26,81,116.64,0.69,9.72,14.58,17.82,
Case_204,Back,Back_204,0,-0.6,0.6,1.2,0.6,1.2,60.8,42.546667,63.85,13.57,22.58,239.22,7.65,14.3,16.34,40.38,46.16,43.74,37.26,81,116.64,0.69,9.72,14.58,35.64,
Case_205,Back,Back_205,0,-0.6,0.6,1.2,1.2,0,74.54,49.216667,59.01,11.17,29.81,323.96,10.24,8.51,13.82,34.02,55.26,43.74,37.26,81,116.64,0.69,19.44,14.58,0,
Case_206,Back,Back_206,0,-0.6,0.6,1.2,1.2,0.6,64.2,43.643333,63.43,12.51,24.06,262.97,8.02,15.15,19.08,34.02,42.86,43.74,37.26,81,116.64,0.69,19.44,14.58,17.82,
Case_207,Back,Back_207,0,-0.6,0.6,1.2,1.2,1.2,56.82,36.71,67.34,14.38,18.28,200.52,5.26,17.58,18.08,40.56,41.73,43.74,37.26,81,116.64,0.69,19.44,14.58,35.64,
Case_208,Back,Back_208,0,-0.6,0.6,1.8,0,0,74.64,55.27,56.17,10.87,32.96,414.14,15.23,14.18,33.65,14.58,34.62,43.74,37.26,81,116.64,0.69,0,14.58,0,
Case_209,Back,Back_209,0,-0.6,0.6,1.8,0,0.6,65.88,50.356667,60.38,12.05,27.57,336.76,11.21,23.41,39.05,16.69,27.84,43.74,37.26,81,116.64,0.69,0,14.58,17.82,
Case_210,Back,Back_210,0,-0.6,0.6,1.8,0,1.2,60.05,42.546667,64.03,13.82,22.15,261.61,7.56,17.56,22.58,25.33,32.57,43.74,37.26,81,116.64,0.69,0,14.58,35.64,
Case_211,Back,Back_211,0,-0.6,0.6,1.8,0.6,0,71.71,49.216667,59.29,11.31,29.4,348.95,10.27,10.94,21.09,24.3,46.88,43.74,37.26,81,116.64,0.69,9.72,14.58,0,
Case_212,Back,Back_212,0,-0.6,0.6,1.8,0.6,0.6,63.6,43.643333,63.61,12.64,23.75,289.14,8.05,16.77,24.07,24.3,34.88,43.74,37.26,81,116.64,0.69,9.72,14.58,17.82,
Case_213,Back,Back_213,0,-0.6,0.6,1.8,0.6,1.2,55.87,36.71,67.28,14.46,18.27,225.56,5.33,18.57,21.23,27.77,31.74,43.74,37.26,81,116.64,0.69,9.72,14.58,35.64,
Case_214,Back,Back_214,0,-0.6,0.6,1.8,1.2,0,68.16,43.07,62.77,12.01,25.22,284.74,6.67,3.65,5.92,34.02,55.26,43.74,37.26,81,116.64,0.69,19.44,14.58,0,
Case_215,Back,Back_215,0,-0.6,0.6,1.8,1.2,0.6,57.67,38.9,67.04,13.58,19.38,238.5,5.26,8.75,11.02,34.02,42.86,43.74,37.26,81,116.64,0.69,19.44,14.58,17.82,
Case_216,Back,Back_216,0,-0.6,0.6,1.8,1.2,1.2,50,30.566667,70.19,15.63,14.18,188.33,3.51,13.47,13.86,34.02,35,43.74,37.26,81,116.64,0.69,19.44,14.58,35.64,
Case_217,Back,Back_217,0,-0.6,0.6,2.4,0,0,69.39,49.216667,59.73,11.34,28.93,351.19,10.06,10.94,25.96,14.58,34.62,43.74,37.26,81,116.64,0.69,0,14.58,0,
Case_218,Back,Back_218,0,-0.6,0.6,2.4,0,0.6,62.51,43.643333,63.9,12.77,23.33,293.03,7.92,16.77,27.97,14.58,24.32,43.74,37.26,81,116.64,0.69,0,14.58,17.82,
Case_219,Back,Back_219,0,-0.6,0.6,2.4,0,1.2,53.85,36.71,67.63,14.71,17.66,230.63,5.25,23.91,30.75,16.5,21.23,43.74,37.26,81,116.64,0.69,0,14.58,35.64,
Case_220,Back,Back_220,0,-0.6,0.6,2.4,0.6,0,65.23,43.07,62.98,12.17,24.85,290.07,6.54,4.46,8.59,24.3,46.88,43.74,37.26,81,116.64,0.69,9.72,14.58,0,
Case_221,Back,Back_221,0,-0.6,0.6,2.4,0.6,0.6,57.06,38.9,67.31,13.58,19.11,244.38,5.18,8.75,12.56,24.3,34.88,43.74,37.26,81,116.64,0.69,9.72,14.58,17.82,
Case_222,Back,Back_222,0,-0.6,0.6,2.4,0.6,1.2,48.13,30.566667,70.06,15.99,13.95,195.38,3.5,17.49,19.99,24.3,27.78,43.74,37.26,81,116.64,0.69,9.72,14.58,35.64,
Case_223,Back,Back_223,0,-0.6,0.6,2.4,1.2,0,59.3,37.76,66.09,13.23,20.68,239.6,4.89,0,0,34.02,55.26,43.74,37.26,81,116.64,0.69,19.44,14.58,0,
Case_224,Back,Back_224,0,-0.6,0.6,2.4,1.2,0.6,51.66,33.376667,70.04,15.03,14.93,201.92,3.72,3.56,4.49,34.02,42.86,43.74,37.26,81,116.64,0.69,19.44,14.58,17.82,
Case_225,Back,Back_225,0,-0.6,0.6,2.4,1.2,1.2,43.19,25.04,72.01,17.59,10.41,163.47,2.75,9.57,9.85,34.02,35,43.74,37.26,81,116.64,0.69,19.44,14.58,35.64,
Case_226,Back,Back_226,0,-0.6,1.2,0,0,0,85.63,51.133333,53.14,10.75,36.11,583.76,31.11,0,0,45.36,100,43.74,55.08,98.82,116.64,0.85,0,0,0,
Case_227,Back,Back_227,0,-0.6,1.2,0,0,0.6,80.56,47.2,57.24,11.92,30.83,472.46,22.82,14.58,23.08,48.6,76.92,43.74,55.08,98.82,116.64,0.85,0,0,17.82,
Case_228,Back,Back_228,0,-0.6,1.2,0,0,1.2,69.48,42.583333,60.63,13.47,25.9,372.85,15.85,32.4,40,48.6,60,43.74,55.08,98.82,116.64,0.85,0,0,35.64,
Case_229,Back,Back_229,0,-0.6,1.2,0,0.6,0,84.56,50.826667,53.94,10.88,35.18,518.67,25.65,15.34,27.86,36.86,66.91,43.74,55.08,98.82,116.64,0.85,9.72,0,0,
Case_230,Back,Back_230,0,-0.6,1.2,0,0.6,0.6,78.6,47.2,58.19,12.05,29.77,418.1,18.42,21.42,29.38,45.36,62.22,43.74,55.08,98.82,116.64,0.85,9.72,0,17.82,
Case_231,Back,Back_231,0,-0.6,1.2,0,0.6,1.2,66.35,42.276667,61.35,13.88,24.78,331.53,12.9,28.85,31.8,48.6,53.57,43.74,55.08,98.82,116.64,0.85,9.72,0,35.64,
Case_232,Back,Back_232,0,-0.6,1.2,0,1.2,0,83,49.736667,56.45,11.28,32.27,447.51,20.94,17.82,27.5,37.26,57.5,43.74,55.08,98.82,116.64,0.85,19.44,0,0,
Case_233,Back,Back_233,0,-0.6,1.2,0,1.2,0.6,76.42,44.496667,61.04,12.65,26.31,358.28,14.2,18.23,22.06,44.55,53.92,43.74,55.08,98.82,116.64,0.85,19.44,0,17.82,
Case_234,Back,Back_234,0,-0.6,1.2,0,1.2,1.2,64,38.69,64.79,14.36,20.85,277.31,9.33,16.43,16.35,53.64,53.4,43.74,55.08,98.82,116.64,0.85,19.44,0,35.64,
Case_235,Back,Back_235,0,-0.6,1.2,0.6,0,0,79.77,51.133333,53.81,11.22,34.97,444.23,24.35,1.22,2.03,55.08,91.89,43.74,55.08,98.82,116.64,0.85,0,14.58,0,
Case_236,Back,Back_236,0,-0.6,1.2,0.6,0,0.6,73.07,47.2,57.27,12.64,30.09,373.34,18.9,10.94,14.06,63.18,81.25,43.74,55.08,98.82,116.64,0.85,0,14.58,17.82,
Case_237,Back,Back_237,0,-0.6,1.2,0.6,0,1.2,63.4,42.583333,60.16,14.54,25.31,296.97,13.13,27.54,28.81,63.18,66.1,43.74,55.08,98.82,116.64,0.85,0,14.58,35.64,
Case_238,Back,Back_238,0,-0.6,1.2,0.6,0.6,0,79.61,50.826667,54.34,11.31,34.35,389.24,19.64,14.58,20.93,48.2,69.19,43.74,55.08,98.82,116.64,0.85,9.72,14.58,0,
Case_239,Back,Back_239,0,-0.6,1.2,0.6,0.6,0.6,73.36,47.2,58.18,12.63,29.19,321.71,14.59,17.41,19.91,59.94,68.52,43.74,55.08,98.82,116.64,0.85,9.72,14.58,17.82,
