Global_ID,Cases,Cases_ID,Angle,Vertical_Steps_Section,Horizontal_Steps_Plan,Balcony_Steps,PV_Canopy_Steps,Vertical_Louvre_Steps,sDA,ASE,UDI_Middle,UDI_Low,UDI_High,Winter_Average_Radation_kWh/m2,Summer_Average_Radation_kWh/m2,Area_Active_Solar_Potential,PercArea_Active_Solar_Potential,Area_PV_Potential,PercArea_PV_Potential,Glass_Area,Opaque_Area,Surface_Area,Floor_Area,S/F_RATIO,Canopy_Area,Handrail_Area,Louvers_Area,
Case_025,Back,Back_025,0,-1.2,0,1.2,1.2,0,77.47,58.33,54.5,9.99,35.51,410.8,13.86,0,0,34.02,77.78,43.74,29.16,72.9,116.64,0.63,19.44,14.58,0,
Case_026,Back,Back_026,0,-1.2,0,1.2,1.2,0.6,70.06,56.48,58.66,10.88,30.47,343.19,12.04,8.75,14.21,34.02,55.26,43.74,29.16,72.9,116.64,0.63,19.44,14.58,17.82,
Case_027,Back,Back_027,0,-1.2,0,1.2,1.2,1.2,64.2,49.07,63.04,12.24,24.72,255.83,8.32,10.97,13.82,34.02,42.86,43.74,29.16,72.9,116.64,0.63,19.44,14.58,35.64,
Case_028,Back,Back_028,0,-1.2,0,1.8,0,0,74.38,58.33,53.04,9.89,37.06,563.23,23.93,9.72,40,14.58,60,43.74,29.16,72.9,116.64,0.63,0,14.58,0,
Case_029,Back,Back_029,0,-1.2,0,1.8,0,0.6,69.44,56.48,56.56,10.77,32.67,470.03,19.84,22.84,54.23,14.58,34.62,43.74,29.16,72.9,116.64,0.63,0,14.58,17.82,
Case_030,Back,Back_030,0,-1.2,0,1.8,0,1.2,64.2,50.93,60.22,12.05,27.72,371.58,15.29,36.22,60.43,15.12,25.23,43.74,29.16,72.9,116.64,0.63,0,14.58,35.64,
Case_031,Back,Back_031,0,-1.2,0,1.8,0.6,0,75.62,58.33,54.73,9.99,35.28,466.79,18.13,0,0,24.3,71.43,43.74,29.16,72.9,116.64,0.63,9.72,14.58,0,
Case_032,Back,Back_032,0,-1.2,0,1.8,0.6,0.6,68.21,56.48,58.93,10.97,30.1,399.49,16.34,8.75,16.88,24.3,46.88,43.74,29.16,72.9,116.64,0.63,9.72,14.58,17.82,
Case_033,Back,Back_033,0,-1.2,0,1.8,0.6,1.2,62.96,49.07,63.35,12.33,24.32,312.45,12.66,13.86,19.9,24.3,34.88,43.74,29.16,72.9,116.64,0.63,9.72,14.58,35.64,
Case_034,Back,Back_034,0,-1.2,0,1.8,1.2,0,73.77,54.63,58.22,10.37,31.41,390.11,13.12,0,0,34.02,77.78,43.74,29.16,72.9,116.64,0.63,19.44,14.58,0,
Case_035,Back,Back_035,0,-1.2,0,1.8,1.2,0.6,66.98,47.22,62.74,11.42,25.84,338,11.98,0,0,34.02,55.26,43.74,29.16,72.9,116.64,0.63,19.44,14.58,17.82,
